"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)","AIC_df","AIC","lm"
"1",6362,112.282124276426,NA,NA,NA,NA,10,-7629.14992403529,"lm1"
"2",6334,110.593370078997,28,1.68875419742922,3.59263879099506,5.08876435544084e-10,38,-7669.69942520189,"lm2"
"3",6278,109.996253058599,56,0.597117020398713,0.635150388823154,0.984651232343816,94,-7592.19100077627,"lm3"
"4",6208,105.748190378068,70,4.24806268053104,3.61491442529342,6.05059922770525e-22,164,-7703.11663666882,"lm4"
"5",6152,104.914946442547,56,0.833243935520173,0.886317407728199,0.712439214733648,220,-7641.51581782012,"lm5"
"6",6124,103.173323428511,28,1.74162301403663,3.70511138272389,1.58819281426378e-10,248,-7692.16420633296,"lm6"
"7",6116,102.658550238743,8,0.514773189767638,3.8329316754835,0.000165369858172349,256,-7708.03125171601,"lm7"
"8",6115,102.65764961203,1,0.000900626712592612,0.0536475593228312,0.816841366512536,257,-7706.08714494597,"lm8"
