destination.plate,destination.row,destination.column,vol.ul
1,H,1,10
1,G,2,10
1,E,3,10
1,B,4,10
1,F,4,10
1,A,5,10
1,C,5,10
1,E,5,10
1,B,6,10
1,G,6,10
1,C,7,10
1,F,7,10
1,H,7,10
1,B,8,10
1,F,8,10
1,B,9,10
1,E,9,10
1,G,9,10
1,A,10,10
1,D,10,10
1,G,10,10
1,A,11,10
1,C,11,10
1,E,11,10
1,G,11,10
1,A,12,10
1,B,12,10
1,D,12,10
1,E,12,10
2,A,1,10
2,E,1,10
2,H,1,10
2,B,2,10
2,D,2,10
2,G,2,10
2,B,3,10
2,D,3,10
2,F,3,10
2,H,3,10
2,B,4,10
2,D,4,10
2,E,4,10
2,G,4,10
2,H,4,10
2,C,5,10
2,F,5,10
2,H,5,10
2,B,6,10
2,D,6,10
2,F,6,10
2,H,6,10
2,A,7,10
2,C,7,10
2,D,7,10
2,F,7,10
2,H,7,10
2,B,8,10
2,C,8,10
2,E,8,10
2,F,8,10
2,G,8,10
2,A,9,10
2,B,9,10
2,C,9,10
2,F,9,10
2,A,10,10
2,C,10,10
2,E,10,10
2,G,10,10
2,A,11,10
2,C,11,10
2,D,11,10
2,F,11,10
2,G,11,10
2,A,12,10
2,C,12,10
2,E,12,10
2,F,12,10
2,H,12,10
3,A,1,10
3,B,1,10
3,D,1,10
3,E,1,10
3,F,1,10
3,H,1,10
3,B,2,10
3,D,2,10
3,E,2,10
3,G,2,10
3,H,2,10
3,A,3,10
3,C,3,10
3,D,3,10
3,E,3,10
3,F,3,10
3,H,3,10
3,A,4,10
3,B,4,10
3,C,4,10
3,E,4,10
3,G,4,10
3,A,5,10
3,B,5,10
3,D,5,10
3,E,5,10
3,F,5,10
3,H,5,10
3,A,6,10
3,B,6,10
3,C,6,10
3,E,6,10
3,F,6,10
3,G,6,10
3,H,6,10
3,A,7,10
3,C,7,10
3,D,7,10
3,E,7,10
3,F,7,10
3,G,7,10
3,H,7,10
3,B,8,10
3,C,8,10
3,D,8,10
3,E,8,10
3,F,8,10
3,G,8,10
3,H,8,10
4,H,1,10
4,G,2,10
4,E,3,10
4,B,4,10
4,F,4,10
4,A,5,10
4,C,5,10
4,E,5,10
4,B,6,10
4,G,6,10
4,C,7,10
4,F,7,10
4,H,7,10
4,B,8,10
4,F,8,10
4,B,9,10
4,E,9,10
4,G,9,10
4,A,10,10
4,D,10,10
4,G,10,10
4,A,11,10
4,C,11,10
4,E,11,10
4,G,11,10
4,A,12,10
4,B,12,10
4,D,12,10
4,E,12,10
5,A,1,10
5,E,1,10
5,H,1,10
