destination.plate,destination.row,destination.column,vol.ul
1,C,1,10
1,B,2,10
1,A,3,10
1,B,3,10
1,C,3,10
1,D,3,10
1,E,3,10
1,F,3,10
1,F,5,10
1,G,5,10
1,H,5,10
1,A,6,10
1,B,6,10
1,C,6,10
1,C,8,10
1,D,8,10
1,E,8,10
1,F,8,10
1,G,8,10
1,H,8,10
1,A,9,10
1,B,9,10
1,C,9,10
1,D,9,10
1,E,9,10
1,F,9,10
1,G,9,10
1,H,9,10
1,A,10,10
1,F,12,10
1,G,12,10
1,H,12,10
2,A,1,10
2,B,1,10
2,C,1,10
2,D,1,10
2,E,1,10
2,F,1,10
2,G,1,10
2,H,1,10
2,A,2,10
2,B,2,10
2,C,2,10
2,D,2,10
2,A,5,10
2,B,5,10
2,C,5,10
2,D,5,10
2,E,5,10
2,F,5,10
2,G,5,10
2,H,5,10
2,A,6,10
2,B,6,10
2,C,6,10
2,D,6,10
2,E,6,10
2,F,6,10
2,G,6,10
2,H,6,10
2,A,7,10
2,B,7,10
2,C,7,10
2,D,7,10
2,D,9,10
2,E,9,10
2,F,9,10
2,G,9,10
2,H,9,10
2,A,10,10
2,B,10,10
2,C,10,10
2,D,10,10
2,E,10,10
2,F,10,10
2,G,10,10
2,H,10,10
2,A,11,10
2,B,11,10
2,C,11,10
2,D,11,10
2,E,11,10
2,F,11,10
2,G,11,10
3,G,1,10
3,H,1,10
3,A,2,10
3,B,2,10
3,C,2,10
3,D,2,10
3,E,2,10
3,F,2,10
3,G,2,10
3,H,2,10
3,A,3,10
3,B,3,10
3,C,3,10
3,D,3,10
3,E,3,10
3,D,4,10
3,E,4,10
3,F,4,10
3,G,4,10
3,H,4,10
3,A,5,10
3,B,5,10
3,C,5,10
3,D,5,10
3,E,5,10
3,F,5,10
3,G,5,10
3,H,5,10
3,A,6,10
3,B,6,10
3,A,7,10
3,B,7,10
3,C,7,10
3,D,7,10
3,E,7,10
3,F,7,10
3,H,7,10
3,A,8,10
3,B,8,10
3,C,8,10
3,D,8,10
3,E,8,10
3,G,8,10
3,H,8,10
4,C,1,10
4,B,2,10
4,A,3,10
4,B,3,10
4,C,3,10
4,D,3,10
4,E,3,10
4,F,3,10
4,F,5,10
4,G,5,10
4,H,5,10
4,A,6,10
4,B,6,10
4,C,6,10
4,C,8,10
4,D,8,10
4,E,8,10
4,F,8,10
4,G,8,10
4,H,8,10
4,A,9,10
4,B,9,10
4,C,9,10
4,D,9,10
4,E,9,10
4,F,9,10
4,G,9,10
4,H,9,10
4,A,10,10
4,F,12,10
4,G,12,10
4,H,12,10
5,A,1,10
5,B,1,10
5,C,1,10
5,D,1,10
5,E,1,10
5,F,1,10
5,G,1,10
5,H,1,10
5,A,2,10
5,B,2,10
5,C,2,10
5,D,2,10
5,A,5,10
5,B,5,10
5,C,5,10
5,D,5,10
5,E,5,10
5,F,5,10
5,G,5,10
5,H,5,10
5,A,6,10
5,B,6,10
5,C,6,10
5,D,6,10
5,E,6,10
5,F,6,10
