Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
00:00:06,0.071,0.204,0.054,0.056,0.052,0.055,0.051,0.053,0.046,0.048,0.05,0.045,0.053,0.052,0.051,0.054,0.056,0.054,0.052,0.053,0.048,0.049,0.048,0.048,0.051,0.051,0.051,0.05,0.052,0.052,0.05,0.052,0.047,0.048,0.047,0.049,0.052,0.053,0.054,0.051,0.051,0.052,0.051,0.055,0.046,0.048,0.046,0.048,0.052,0.052,0.054,0.05,0.054,0.056,0.051,0.052,0.047,0.046,0.046,0.046,0.053,0.053,0.054,0.053,0.051,0.051,0.051,0.052,0.047,0.046,0.046,0.045,0.053,0.054,0.055,0.054,0.054,0.053,0.053,0.055,0.048,0.046,0.045,0.046,0.044,0.052,0.055,0.056,0.055,0.052,0.055,0.055,0.049,0.048,0.046,0.045
04:00:05,0.071,0.267,0.054,0.067,0.057,0.052,0.051,0.054,0.046,0.048,0.05,0.046,0.056,0.06,0.09,0.082,0.098,0.072,0.056,0.053,0.048,0.049,0.048,0.048,0.064,0.091,0.07,0.076,0.08,0.1,0.068,0.107,0.047,0.047,0.046,0.049,0.074,0.091,0.089,0.057,0.064,0.09,0.112,0.085,0.046,0.048,0.046,0.047,0.093,0.075,0.1,0.118,0.105,0.12,0.106,0.069,0.048,0.046,0.045,0.045,0.056,0.055,0.058,0.066,0.059,0.066,0.074,0.07,0.047,0.046,0.046,0.045,0.058,0.058,0.059,0.057,0.063,0.055,0.059,0.066,0.048,0.046,0.046,0.045,0.044,0.052,0.056,0.064,0.055,0.056,0.07,0.064,0.049,0.048,0.046,0.045
08:00:07,0.075,0.281,0.071,0.061,0.06,0.058,0.059,0.056,0.046,0.048,0.05,0.046,0.074,0.092,0.101,0.114,0.096,0.079,0.104,0.074,0.048,0.049,0.048,0.048,0.07,0.094,0.07,0.108,0.103,0.175,0.108,0.077,0.047,0.047,0.046,0.049,0.084,0.08,0.114,0.063,0.111,0.211,0.173,0.157,0.046,0.049,0.046,0.048,0.111,0.083,0.121,0.161,0.187,0.215,0.106,0.09,0.048,0.046,0.046,0.046,0.085,0.073,0.07,0.111,0.108,0.148,0.088,0.076,0.047,0.046,0.046,0.046,0.06,0.074,0.066,0.08,0.065,0.068,0.067,0.066,0.048,0.046,0.046,0.046,0.044,0.066,0.063,0.101,0.068,0.058,0.121,0.057,0.049,0.048,0.046,0.045
12:00:08,0.107,0.274,0.065,0.069,0.062,0.061,0.07,0.063,0.046,0.048,0.05,0.046,0.081,0.08,0.086,0.099,0.114,0.083,0.122,0.072,0.048,0.049,0.048,0.048,0.101,0.112,0.099,0.184,0.151,0.186,0.12,0.098,0.047,0.047,0.046,0.049,0.074,0.134,0.142,0.114,0.174,0.164,0.14,0.112,0.046,0.048,0.046,0.048,0.143,0.112,0.2,0.255,0.181,0.202,0.199,0.127,0.048,0.046,0.046,0.045,0.07,0.095,0.069,0.064,0.073,0.144,0.07,0.107,0.047,0.046,0.046,0.045,0.069,0.065,0.068,0.085,0.079,0.176,0.134,0.07,0.048,0.046,0.045,0.045,0.043,0.073,0.08,0.127,0.078,0.065,0.141,0.064,0.049,0.048,0.047,0.045
16:00:08,0.128,0.273,0.217,0.091,0.07,0.084,0.115,0.113,0.046,0.048,0.05,0.046,0.082,0.444,0.084,0.08,0.096,0.122,0.098,0.078,0.048,0.048,0.048,0.048,0.129,0.068,0.084,0.105,0.168,0.159,0.072,0.111,0.047,0.048,0.046,0.049,0.102,0.088,0.113,0.09,0.177,0.198,0.077,0.119,0.046,0.049,0.046,0.048,0.089,0.087,0.209,0.203,0.204,0.256,0.064,0.152,0.048,0.046,0.046,0.045,0.14,0.172,0.119,0.231,0.081,0.143,0.085,0.105,0.046,0.046,0.046,0.046,0.082,0.247,0.085,0.091,0.118,0.248,0.138,0.313,0.048,0.046,0.045,0.046,0.043,0.074,0.165,0.095,0.143,0.125,0.11,0.117,0.049,0.048,0.047,0.045
20:00:11,0.174,0.273,0.312,0.407,0.108,0.081,0.21,0.069,0.046,0.048,0.05,0.046,0.45,0.472,0.257,0.237,0.096,0.093,0.344,0.112,0.047,0.048,0.048,0.048,0.127,0.125,0.284,0.077,0.122,0.147,0.086,0.152,0.047,0.047,0.046,0.049,0.14,0.125,0.104,0.185,0.177,0.127,0.096,0.13,0.046,0.048,0.045,0.047,0.107,0.082,0.195,0.27,0.154,0.2,0.334,0.127,0.048,0.046,0.045,0.045,0.17,0.233,0.106,0.16,0.227,0.101,0.161,0.141,0.046,0.045,0.046,0.045,0.378,0.246,0.177,0.236,0.181,0.272,0.462,0.499,0.048,0.045,0.045,0.045,0.043,0.069,0.138,0.136,0.071,0.07,0.3,0.136,0.049,0.048,0.046,0.045
24:00:12,0.161,0.285,0.358,0.141,0.212,0.114,0.121,0.092,0.046,0.048,0.05,0.046,0.359,0.479,0.421,0.457,0.075,0.08,0.488,0.119,0.048,0.048,0.047,0.048,0.359,0.291,0.387,0.407,0.093,0.11,0.388,0.087,0.047,0.047,0.046,0.049,0.172,0.334,0.373,0.13,0.103,0.194,0.377,0.103,0.046,0.048,0.045,0.048,0.136,0.324,0.122,0.12,0.135,0.148,0.246,0.187,0.048,0.046,0.045,0.045,0.158,0.436,0.331,0.237,0.17,0.127,0.226,0.151,0.046,0.045,0.046,0.045,0.405,0.492,0.368,0.229,0.22,0.529,0.428,0.353,0.048,0.046,0.045,0.045,0.042,0.077,0.082,0.059,0.081,0.061,0.268,0.073,0.049,0.048,0.046,0.045
28:00:12,0.222,0.322,0.224,0.459,0.213,0.226,0.152,0.077,0.046,0.048,0.05,0.045,0.245,0.466,0.416,0.492,0.073,0.082,0.505,0.384,0.048,0.048,0.047,0.048,0.238,0.32,0.412,0.415,0.108,0.114,0.42,0.299,0.047,0.048,0.046,0.049,0.222,0.408,0.422,0.121,0.249,0.17,0.413,0.284,0.046,0.048,0.046,0.048,0.131,0.41,0.38,0.122,0.133,0.323,0.435,0.38,0.048,0.046,0.045,0.045,0.101,0.423,0.431,0.203,0.203,0.132,0.388,0.245,0.046,0.045,0.046,0.045,0.366,0.434,0.363,0.18,0.293,0.488,0.384,0.324,0.048,0.046,0.045,0.045,0.041,0.096,0.065,0.06,0.106,0.055,0.167,0.074,0.049,0.048,0.046,0.045
32:00:13,0.168,0.327,0.168,0.25,0.18,0.126,0.13,0.065,0.046,0.048,0.05,0.045,0.226,0.426,0.382,0.481,0.118,0.075,0.479,0.409,0.047,0.048,0.048,0.048,0.171,0.316,0.397,0.392,0.098,0.217,0.395,0.102,0.047,0.047,0.046,0.049,0.208,0.337,0.434,0.135,0.12,0.232,0.399,0.273,0.046,0.048,0.045,0.048,0.226,0.431,0.409,0.136,0.133,0.292,0.43,0.32,0.048,0.046,0.045,0.045,0.118,0.396,0.422,0.122,0.139,0.174,0.357,0.147,0.046,0.046,0.046,0.045,0.27,0.364,0.365,0.115,0.305,0.375,0.354,0.286,0.048,0.046,0.045,0.045,0.045,0.095,0.059,0.063,0.11,0.059,0.148,0.08,0.049,0.048,0.046,0.045
36:00:14,0.168,0.347,0.183,0.168,0.175,0.237,0.243,0.07,0.046,0.048,0.05,0.046,0.209,0.45,0.358,0.426,0.279,0.34,0.488,0.305,0.048,0.048,0.047,0.048,0.139,0.32,0.397,0.372,0.382,0.398,0.395,0.364,0.047,0.047,0.046,0.049,0.209,0.405,0.403,0.339,0.319,0.341,0.4,0.302,0.046,0.048,0.046,0.048,0.134,0.453,0.377,0.185,0.111,0.332,0.446,0.358,0.048,0.046,0.045,0.045,0.134,0.369,0.405,0.223,0.138,0.324,0.337,0.442,0.046,0.045,0.046,0.045,0.299,0.378,0.348,0.404,0.464,0.434,0.368,0.399,0.048,0.046,0.045,0.045,0.045,0.079,0.059,0.074,0.062,0.057,0.082,0.066,0.048,0.048,0.047,0.045
