"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper","Copper","Copper","Cadmium","Cadmium","Benzo[a]pyrene"
"Amoxycillin","Atrazine","Metaldehyde","Copper","Cadmium","Benzo[a]pyrene","Benzene","Atrazine","Metaldehyde","Copper","Cadmium","Benzo[a]pyrene","Benzene","Metaldehyde","Copper","Cadmium","Benzo[a]pyrene","Benzene","Copper","Cadmium","Benzo[a]pyrene","Benzene","Cadmium","Benzo[a]pyrene","Benzene","Benzo[a]pyrene","Benzene","Benzene"
