"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Chloramphenicol","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper"
"Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Amoxycillin","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper","Copper","Copper","Cadmium","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper","Copper","Copper","Cadmium","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper","Copper","Copper","Cadmium","Copper","Copper","Copper","Cadmium","Cadmium"
"Atrazine","Atrazine","Atrazine","Atrazine","Atrazine","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper","Copper","Copper","Cadmium","Cadmium","Benzo[a]pyrene","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper","Copper","Copper","Cadmium","Cadmium","Benzo[a]pyrene","Copper","Copper","Copper","Cadmium","Cadmium","Benzo[a]pyrene","Cadmium","Cadmium","Benzo[a]pyrene","Benzo[a]pyrene","Metaldehyde","Metaldehyde","Metaldehyde","Metaldehyde","Copper","Copper","Copper","Cadmium","Cadmium","Benzo[a]pyrene","Copper","Copper","Copper","Cadmium","Cadmium","Benzo[a]pyrene","Cadmium","Cadmium","Benzo[a]pyrene","Benzo[a]pyrene","Copper","Copper","Copper","Cadmium","Cadmium","Benzo[a]pyrene","Cadmium","Cadmium","Benzo[a]pyrene","Benzo[a]pyrene","Cadmium","Cadmium","Benzo[a]pyrene","Benzo[a]pyrene","Benzo[a]pyrene"
"Metaldehyde","Copper","Cadmium","Benzo[a]pyrene","Benzene","Copper","Cadmium","Benzo[a]pyrene","Benzene","Cadmium","Benzo[a]pyrene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Copper","Cadmium","Benzo[a]pyrene","Benzene","Cadmium","Benzo[a]pyrene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Cadmium","Benzo[a]pyrene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Benzene","Copper","Cadmium","Benzo[a]pyrene","Benzene","Cadmium","Benzo[a]pyrene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Cadmium","Benzo[a]pyrene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Benzene","Cadmium","Benzo[a]pyrene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Benzene","Benzo[a]pyrene","Benzene","Benzene","Benzene","Benzene"
