"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)","AIC_df","AIC","lm"
"1",6362,24990.9890571099,NA,NA,NA,NA,10,26807.7356084894,"lm1"
"2",6334,24310.9891633129,28,679.999893796932,6.41356895360809,1.2035835889785e-23,38,26687.9798182644,"lm2"
"3",6278,24109.995848602,56,200.993314710908,0.947856385619978,0.585955792652181,94,26747.0880498517,"lm3"
"4",6208,23565.7022717514,70,544.293576850599,2.05344995961413,6.46523534569709e-07,164,26741.6116254048,"lm4"
"5",6152,23441.8685754818,56,123.833696269627,0.583982407240337,0.994443005846488,220,26820.0448492562,"lm5"
"6",6124,23210.1828526949,28,231.685722786937,2.18519498637494,0.00030206596872587,248,26812.764379054,"lm6"
"7",6116,23159.1323504815,8,51.0505022133548,1.68522924292996,0.0965603169402351,256,26814.7360122521,"lm7"
"8",6115,23155.1450896315,1,3.98726085000817,1.05298843964998,0.304860414144881,257,26815.6390356677,"lm8"
