"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",6154,28546.6191693349,NA,NA,NA,NA
"2",6134,28585.2593304518,20,-38.6401611169385,NA,NA
"3",6106,28548.0199066657,28,37.2394237860753,0.285005824538709,0.999924462470565
"4",6092,28428.312457919,14,119.707448746773,1.83232266586555,0.0288854200578115
"5",6106,28521.4514888024,-14,-93.1390308833979,1.42564860542149,0.131850842108807
"6",6134,28635.3510377393,-28,-113.899548936944,0.871711523944127,0.659662592137253
"7",6154,28716.3220611599,-20,-80.9710234205741,0.867577833556439,0.629981487745116
"8",6161,28752.5018924766,-7,-36.1798313166873,1.10758562917824,0.355029607130816
