"","df","AIC","lm"
"1",10,26957.5602944138,"lm1"
"2",30,27005.8967732948,"lm2"
"3",58,27053.8626956308,"lm3"
"4",72,27055.9656937864,"lm4"
"5",58,27048.1243852131,"lm5"
"6",30,27016.6871255434,"lm6"
"7",10,26994.0893989886,"lm7"
"8",3,26987.8493047783,"lm8"
