"","Isolate","Mean_n","SD_n"
"1","Control",51,NA
"2","KUB5_13",2.6171875,1.86451315729482
"3","KUE4_10",2.97265625,1.9411019649249
"4","KUE4_4",3.3671875,1.83376220473905
"5","LUF4_5",3.32421875,1.69669788146871
"6","NUE1_1",2.6015625,1.60557774709317
"7","NUF1_3",2.65625,1.73516117802511
"8","OP50",3.30078125,2.0386845468028
"9","SC",3.03515625,1.66000660729845
