Copper,Nickel,Chloramphenicol,Ampicillin,Metaldehyde,Atrazine,Tebuconazole,Azoxystrobin,Dest.Column,Dest.Row,Dest.Plate
0,1,0,1,0,1,1,0,6,F,2
0,1,0,1,0,1,0,1,6,G,2
0,1,0,1,0,0,1,1,6,H,2
0,1,0,0,1,1,1,0,7,A,2
0,1,0,0,1,1,0,1,7,B,2
0,1,0,0,1,0,1,1,7,C,2
0,1,0,0,0,1,1,1,7,D,2
0,0,1,1,1,1,0,0,7,E,2
0,0,1,1,1,0,1,0,7,F,2
0,0,1,1,1,0,0,1,7,G,2
0,0,1,1,0,1,1,0,7,H,2
0,0,1,1,0,1,0,1,8,A,2
0,0,1,1,0,0,1,1,8,B,2
0,0,1,0,1,1,1,0,8,C,2
0,0,1,0,1,1,0,1,8,D,2
0,0,1,0,1,0,1,1,8,E,2
0,0,1,0,0,1,1,1,8,F,2
0,0,0,1,1,1,1,0,8,G,2
0,0,0,1,1,1,0,1,8,H,2
0,0,0,1,1,0,1,1,9,A,2
0,0,0,1,0,1,1,1,9,B,2
0,0,0,0,1,1,1,1,9,C,2
1,1,1,1,1,0,0,0,9,D,2
1,1,1,1,0,1,0,0,9,E,2
1,1,1,1,0,0,1,0,9,F,2
1,1,1,1,0,0,0,1,9,G,2
1,1,1,0,1,1,0,0,9,H,2
1,1,1,0,1,0,1,0,10,A,2
1,1,1,0,1,0,0,1,10,B,2
1,1,1,0,0,1,1,0,10,C,2
1,1,1,0,0,1,0,1,10,D,2
1,1,1,0,0,0,1,1,10,E,2
1,1,0,1,1,1,0,0,10,F,2
1,1,0,1,1,0,1,0,10,G,2
1,1,0,1,1,0,0,1,10,H,2
1,1,0,1,0,1,1,0,11,A,2
1,1,0,1,0,1,0,1,11,B,2
1,1,0,1,0,0,1,1,11,C,2
1,1,0,0,1,1,1,0,11,D,2
1,1,0,0,1,1,0,1,11,E,2
1,1,0,0,1,0,1,1,11,F,2
1,1,0,0,0,1,1,1,11,G,2
1,0,1,1,1,1,0,0,11,H,2
1,0,1,1,1,0,1,0,12,A,2
1,0,1,1,1,0,0,1,12,B,2
1,0,1,1,0,1,1,0,12,C,2
1,0,1,1,0,1,0,1,12,D,2
1,0,1,1,0,0,1,1,12,E,2
1,0,1,0,1,1,1,0,12,F,2
1,0,1,0,1,1,0,1,12,G,2
1,0,1,0,1,0,1,1,12,H,2
1,0,1,0,0,1,1,1,1,A,3
1,0,0,1,1,1,1,0,1,B,3
1,0,0,1,1,1,0,1,1,C,3
1,0,0,1,1,0,1,1,1,D,3
1,0,0,1,0,1,1,1,1,E,3
1,0,0,0,1,1,1,1,1,F,3
0,1,1,1,1,1,0,0,1,G,3
0,1,1,1,1,0,1,0,1,H,3
0,1,1,1,1,0,0,1,2,A,3
0,1,1,1,0,1,1,0,2,B,3
0,1,1,1,0,1,0,1,2,C,3
0,1,1,1,0,0,1,1,2,D,3
0,1,1,0,1,1,1,0,2,E,3
0,1,1,0,1,1,0,1,2,F,3
0,1,1,0,1,0,1,1,2,G,3
0,1,1,0,0,1,1,1,2,H,3
0,1,0,1,1,1,1,0,3,A,3
0,1,0,1,1,1,0,1,3,B,3
0,1,0,1,1,0,1,1,3,C,3
0,1,0,1,0,1,1,1,3,D,3
0,1,0,0,1,1,1,1,3,E,3
0,0,1,1,1,1,1,0,3,F,3
0,0,1,1,1,1,0,1,3,G,3
0,0,1,1,1,0,1,1,3,H,3
0,0,1,1,0,1,1,1,4,A,3
0,0,1,0,1,1,1,1,4,B,3
0,0,0,1,1,1,1,1,4,C,3
1,1,1,1,1,1,0,0,4,D,3
1,1,1,1,1,0,1,0,4,E,3
1,1,1,1,1,0,0,1,4,F,3
