Time	T° 590	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
9:36:43	25.9	0.046	0.046	0.044	0.048	0.045	0.045	0.044	0.047	0.047	0.045	0.045	0.045	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.048	0.046	0.045	0.045	0.047	0.045	0.045	0.048	0.048	0.047	0.048	0.049	0.048	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.046	0.046	0.045	0.046	0.046	0.046	0.045	0.045	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.044	0.045	0.047	0.047	0.047	0.044	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
10:36:44	25.8	0.045	0.046	0.044	0.048	0.045	0.045	0.044	0.047	0.046	0.045	0.045	0.044	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.048	0.046	0.045	0.045	0.047	0.045	0.045	0.049	0.048	0.046	0.047	0.049	0.048	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.046	0.046	0.045	0.046	0.046	0.046	0.044	0.045	0.044	0.047	0.049	0.045	0.046	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.047	0.047	0.044	0.045	0.048	0.045	0.044	0.046	0.046	0.046	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
11:36:45	25.9	0.045	0.046	0.044	0.048	0.045	0.045	0.044	0.047	0.047	0.045	0.045	0.044	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.045	0.045	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.048	0.048	0.045	0.044	0.045	0.045	0.046	0.045	0.046	0.046	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.048	0.049	0.046	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.045	0.044	0.045	0.047	0.048	0.048	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.046
12:36:47	26.0	0.045	0.046	0.044	0.048	0.045	0.045	0.044	0.047	0.047	0.045	0.045	0.044	0.046	0.045	0.044	0.046	0.045	0.046	0.046	0.045	0.047	0.048	0.047	0.045	0.045	0.048	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.049	0.048	0.044	0.044	0.044	0.045	0.046	0.045	0.046	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.044	0.045	0.047	0.047	0.047	0.045	0.045	0.049	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.049	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.046
13:36:48	26.2	0.044	0.045	0.044	0.048	0.045	0.044	0.044	0.046	0.046	0.044	0.045	0.044	0.046	0.045	0.044	0.046	0.045	0.045	0.045	0.045	0.047	0.048	0.046	0.045	0.045	0.047	0.045	0.045	0.049	0.048	0.046	0.047	0.049	0.048	0.048	0.044	0.044	0.044	0.045	0.046	0.044	0.046	0.046	0.045	0.046	0.046	0.046	0.044	0.045	0.044	0.048	0.049	0.045	0.046	0.046	0.044	0.045	0.045	0.045	0.045	0.044	0.045	0.047	0.047	0.047	0.044	0.045	0.048	0.045	0.044	0.046	0.046	0.046	0.046	0.048	0.045	0.044	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.049	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
14:36:47	26.2	0.044	0.045	0.044	0.048	0.045	0.044	0.044	0.046	0.046	0.044	0.044	0.043	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.045	0.046	0.048	0.045	0.045	0.048	0.048	0.047	0.047	0.049	0.048	0.048	0.044	0.044	0.044	0.045	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.048	0.049	0.045	0.046	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.047	0.047	0.045	0.045	0.049	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
15:36:49	26.2	0.044	0.045	0.043	0.047	0.044	0.044	0.044	0.046	0.046	0.044	0.044	0.043	0.046	0.044	0.044	0.046	0.044	0.045	0.045	0.045	0.047	0.048	0.046	0.045	0.045	0.047	0.045	0.044	0.048	0.048	0.046	0.048	0.049	0.048	0.047	0.044	0.044	0.044	0.045	0.046	0.045	0.046	0.046	0.045	0.046	0.046	0.046	0.044	0.045	0.044	0.047	0.049	0.045	0.046	0.046	0.044	0.045	0.045	0.045	0.045	0.044	0.044	0.047	0.047	0.047	0.044	0.045	0.048	0.045	0.044	0.046	0.046	0.046	0.046	0.048	0.045	0.044	0.045	0.046	0.046	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
16:36:49	26.2	0.044	0.045	0.043	0.047	0.045	0.044	0.044	0.046	0.046	0.044	0.044	0.043	0.046	0.045	0.045	0.046	0.045	0.046	0.046	0.045	0.047	0.049	0.046	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.046	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.045	0.048	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
17:36:50	26.3	0.044	0.045	0.044	0.048	0.044	0.044	0.043	0.046	0.046	0.044	0.044	0.043	0.047	0.045	0.045	0.046	0.045	0.046	0.046	0.045	0.047	0.049	0.047	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.050	0.049	0.048	0.045	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.045	0.048	0.049	0.046	0.047	0.046	0.045	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.048	0.048	0.045	0.045	0.049	0.045	0.045	0.047	0.046	0.047	0.047	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.046	0.044	0.045	0.048	0.048	0.048	0.050	0.045	0.045	0.046	0.048	0.048	0.045	0.045	0.047
18:36:51	26.3	0.043	0.044	0.043	0.047	0.044	0.044	0.043	0.045	0.045	0.044	0.044	0.042	0.046	0.045	0.045	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.048	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.044	0.046	0.044	0.048	0.049	0.045	0.046	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.047	0.048	0.045	0.045	0.049	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
19:36:52	26.3	0.043	0.044	0.043	0.047	0.044	0.043	0.043	0.045	0.045	0.043	0.043	0.042	0.046	0.045	0.045	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.045	0.045	0.047	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.048	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.046	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.048	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.046
21:34:50	26.4	0.042	0.043	0.042	0.046	0.043	0.043	0.042	0.045	0.044	0.043	0.043	0.040	0.046	0.045	0.045	0.046	0.045	0.045	0.045	0.045	0.047	0.049	0.046	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.048	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.046	0.047	0.045	0.046	0.046	0.046	0.044	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.047	0.047	0.048	0.045	0.045	0.049	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.045	0.047	0.048	0.048	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.045	0.046
22:34:47	26.4	0.042	0.043	0.042	0.046	0.043	0.043	0.042	0.045	0.044	0.043	0.043	0.044	0.046	0.045	0.045	0.046	0.045	0.046	0.046	0.045	0.047	0.049	0.047	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.045	0.045	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.046	0.047	0.046	0.045	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.048	0.048	0.045	0.045	0.049	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.046	0.044	0.045	0.048	0.048	0.047	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.045	0.046
23:34:47	26.4	0.043	0.043	0.042	0.046	0.043	0.042	0.042	0.044	0.044	0.042	0.042	0.045	0.046	0.045	0.045	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.045	0.045	0.048	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.048	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.047	0.048	0.044	0.045	0.049	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.045	0.045	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.046
24:34:47	26.4	0.044	0.043	0.042	0.045	0.043	0.042	0.042	0.044	0.044	0.042	0.042	0.046	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.048	0.046	0.045	0.046	0.047	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.049	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
25:34:48	26.4	0.045	0.042	0.041	0.045	0.042	0.042	0.042	0.044	0.044	0.042	0.043	0.046	0.046	0.045	0.044	0.046	0.045	0.046	0.046	0.045	0.048	0.049	0.047	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.045	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.048	0.048	0.045	0.045	0.049	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.045	0.045	0.045	0.048	0.048	0.047	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.045	0.046
26:34:50	26.3	0.045	0.042	0.041	0.045	0.042	0.041	0.041	0.043	0.043	0.041	0.043	0.046	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.047	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.044	0.045	0.046	0.045	0.047	0.046	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.046	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.046	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.046
27:34:50	26.3	0.045	0.041	0.040	0.044	0.042	0.041	0.041	0.043	0.042	0.042	0.043	0.046	0.046	0.045	0.045	0.046	0.045	0.045	0.045	0.045	0.048	0.049	0.046	0.045	0.045	0.047	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.048	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.047	0.046	0.045	0.046	0.047	0.046	0.044	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
28:34:52	26.3	0.045	0.043	0.040	0.044	0.041	0.041	0.041	0.043	0.043	0.042	0.044	0.047	0.046	0.045	0.045	0.046	0.045	0.046	0.046	0.046	0.047	0.049	0.047	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.047	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.046	0.047	0.047	0.044	0.045	0.046	0.046	0.045	0.045	0.045	0.048	0.048	0.047	0.045	0.046	0.049	0.046	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.046	0.045	0.045	0.048	0.048	0.047	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.045	0.046
29:34:52	26.2	0.045	0.043	0.041	0.045	0.042	0.041	0.041	0.043	0.044	0.042	0.044	0.046	0.046	0.045	0.044	0.046	0.045	0.045	0.045	0.045	0.047	0.048	0.046	0.044	0.045	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.048	0.048	0.044	0.044	0.045	0.045	0.046	0.045	0.047	0.046	0.045	0.046	0.046	0.046	0.044	0.045	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.044	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
30:34:53	26.0	0.045	0.043	0.041	0.046	0.042	0.041	0.042	0.043	0.045	0.043	0.044	0.047	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.048	0.047	0.045	0.046	0.048	0.045	0.045	0.048	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.046	0.045	0.046	0.047	0.046	0.044	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.047	0.048	0.045	0.045	0.048	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.047	0.045	0.044	0.045	0.048	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
31:34:54	25.8	0.045	0.043	0.042	0.047	0.042	0.042	0.042	0.044	0.045	0.043	0.044	0.047	0.046	0.045	0.045	0.046	0.045	0.046	0.046	0.045	0.047	0.048	0.046	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.045	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.046	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.048	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.045	0.044	0.045	0.048	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.045	0.046
32:34:56	25.8	0.046	0.043	0.042	0.047	0.042	0.041	0.042	0.043	0.045	0.043	0.044	0.047	0.046	0.045	0.044	0.046	0.045	0.045	0.045	0.045	0.047	0.048	0.046	0.045	0.045	0.048	0.045	0.045	0.048	0.048	0.047	0.048	0.049	0.048	0.048	0.044	0.044	0.044	0.045	0.046	0.045	0.046	0.046	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.047	0.049	0.045	0.046	0.046	0.044	0.045	0.045	0.045	0.045	0.044	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.044	0.046	0.046	0.046	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
33:34:57	25.8	0.046	0.044	0.042	0.047	0.043	0.042	0.042	0.044	0.046	0.043	0.044	0.047	0.046	0.045	0.044	0.046	0.045	0.045	0.045	0.045	0.047	0.049	0.046	0.045	0.046	0.047	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.048	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.046	0.046	0.045	0.045	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.044	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.046
